Topic_Folder,Source_File,Sentence,Extracted_Aspects,Sentiment,Confidence_Score
Music Sharing,B4A6KD_music_sharing.txt,"And then my boyfriend, I don't listen to much, like we don't have very much music in common.","i, we, very much music",Negative,0.6277
Music Sharing,B4A6KD_music_sharing.txt,He doesn't care for the music I play and I don't care for the music he plays.,"he, the music, i, i, the music, he",Negative,0.8499
Music Sharing,B4A6KD_music_sharing.txt,"So really important to my family, like less so on my friendships and relationship.","my family, my friendships, relationship",Positive,0.8681
Music Sharing,P7WEZC_music_sharing.txt,"Yeah, all the time.",No clear aspect,Neutral,0.6354
Music Sharing,P7WEZC_music_sharing.txt,"Any chance I get, if they care about it.","any chance, i, they, it",Neutral,0.7729
Music Sharing,P7WEZC_music_sharing.txt,I'll go on for days about it.,"i, days, it",Neutral,0.5992
Music Sharing,P7WEZC_music_sharing.txt,I'll show them anything.,"i, them, anything",Neutral,0.6914
Music Sharing,P7WEZC_music_sharing.txt,I like to convey to these other people what I'm feeling through this song.,"i, these other people, what, i, this song",Positive,0.6991
Music Sharing,P7WEZC_music_sharing.txt,"Like a Frank Ocean song, for example.","a frank ocean song, example",Neutral,0.8394
Music Sharing,P7WEZC_music_sharing.txt,That's one of my favorite artists ever.,"that, my favorite artists",Positive,0.9881
Music Sharing,P7WEZC_music_sharing.txt,"And sometimes, if I play this song and they're just like, “you know, it's good,” or something, I feel like, “how do you not understand this?","i, this song, they, you, it, i, you, this",Neutral,0.4903
Music Sharing,P7WEZC_music_sharing.txt,You need to know.”,you,Neutral,0.7345
Music Sharing,P7WEZC_music_sharing.txt,"It’s like, what is going on here?","it, what",Negative,0.5995
Music Sharing,P7WEZC_music_sharing.txt,How is this not making you feel the way I feel right now?,"this, you, the way, i",Negative,0.5606
Music Sharing,P7WEZC_music_sharing.txt,So that's just what I like to do.,"that, just what, i",Positive,0.8084
Music Sharing,P7WEZC_music_sharing.txt,I share that music with them to hopefully make them feel the way I feel whenever I listen to that song and to relate to them and continue talking.,"i, that music, them, them, i, i, that song, them",Positive,0.8509
Music Sharing,PUN5JW_music_sharing.txt,"I like, outside of this, I like to show people my music.","i, this, i, people, my music",Positive,0.8252
Music Sharing,PUN5JW_music_sharing.txt,"So a little bit of both, I would say.","both, i",Neutral,0.8451
Music Sharing,PUN5JW_music_sharing.txt,"Well, me and my roommates are always listening to music if we're like studying, cleaning, getting ready.","me, my roommates, music, we, cleaning",Positive,0.6661
Music Sharing,PUN5JW_music_sharing.txt,"And obviously at parties, in the car.","parties, the car",Neutral,0.7034
Music Sharing,PUN5JW_music_sharing.txt,"Yeah, I feel like that's it.","i, that, it",Neutral,0.7273
Music Sharing,PUN5JW_music_sharing.txt,Or if we go to concerts and stuff.,"we, concerts, stuff",Neutral,0.8512
Music Sharing,PUN5JW_music_sharing.txt,"So usually if we're at our apartment, we will like start a jam on Spotify","we, our apartment, we, a jam, spotify",Positive,0.5115
Music Sharing,PUN5JW_music_sharing.txt,and then we'll all play music.,"we, music",Neutral,0.7223
Music Sharing,PUN5JW_music_sharing.txt,"But just depends on like what the mood is, I guess, for like studying, it's usually low tempo stuff.","what, the mood, i, it, low tempo stuff",Neutral,0.8289
Music Sharing,PUN5JW_music_sharing.txt,"And then, it just varies, I guess.","it, i",Neutral,0.74
Music Sharing,PUN5JW_music_sharing.txt,"Either from my friends, I would say","my friends, i",Neutral,0.8786
Music Sharing,XRONEG_music_sharing.txt,"So mostly being here at school, the only time I listen to music with others is like if I'm driving people places, since I like have a car here, since I'm from here.","school, the only time, i, music, others, i, people places, i, a car, i",Neutral,0.6981
Music Sharing,XRONEG_music_sharing.txt,"But usually I typically just listen to music by myself, which is hard, but I listen to a lot of different types of music so that when I am around other people, depending on what kind of music they like, I can tailor my music tastes with their music tastes","i, music, myself, which, i, a lot, different types, music, i, other people, what kind, music, they, i, my music, their music",Neutral,0.6866
Music Sharing,XRONEG_music_sharing.txt,and we can all just like listen to music collectively.,"we, music",Positive,0.619
Music Sharing,XRONEG_music_sharing.txt,I have a very like established group of friends.,"i, a very like established group, friends",Positive,0.8692
Music Sharing,XRONEG_music_sharing.txt,And so we like hang out a lot.,we,Positive,0.705
Music Sharing,XRONEG_music_sharing.txt,I've met them like freshman year.,"i, them, freshman year",Neutral,0.8659
Music Sharing,XRONEG_music_sharing.txt,And so I got to know them and their personalities.,"i, them, their personalities",Neutral,0.7757
Music Sharing,XRONEG_music_sharing.txt,"And especially if we are taking a long drive to go like skiing or something, like I'll take song suggestions, but we pretty much all like listen to like the same music.","we, a long drive, skiing, something, i, song suggestions, we, the same music",Positive,0.7282
Music Sharing,XRONEG_music_sharing.txt,So that like works out just because we all have similar interests.,"that, we, all, similar interests",Positive,0.7654
Music Sharing,XRONEG_music_sharing.txt,And so like listening to music that way just like keeps us like connected.,"music, us",Positive,0.8133
Music Sharing,XRONEG_music_sharing.txt,"Or if like an artist like comes out with like a new song, like we are all already know it or listen to albums that they put out.","an artist, a new song, we, it, albums, they",Neutral,0.8552
Music Sharing,XRONEG_music_sharing.txt,"So a lot of my friends, like even though we have very similar music tastes, there are still like some outliers of like artists and songs.","a lot, my friends, we, very similar music tastes, some outliers, artists, songs",Neutral,0.6881
Music Sharing,XRONEG_music_sharing.txt,And like one of my friends in particular like wanted to go to this concert of this artist I've never heard of.,"my friends, this concert, this artist, i",Neutral,0.6996
Music Sharing,XRONEG_music_sharing.txt,So she like wanted to like introduce me to this artist and their songs.,"she, me, this artist, their songs",Neutral,0.6215
Music Sharing,XRONEG_music_sharing.txt,"And so that was like really meaningful to me just because she's trying to like make another connection with me, like beyond the connection we already have with our music.","that, me, she, another connection, me, the connection, we, our music",Positive,0.9321
Music Sharing,XRONEG_music_sharing.txt,"And again, it's just a concert.","it, just a concert",Neutral,0.6355
Music Sharing,XRONEG_music_sharing.txt,So it's going to be like another experience.,"it, another experience",Positive,0.4935
Music Sharing,XRONEG_music_sharing.txt,So that just is like growing our friendship.,"that, our friendship",Positive,0.4892
Music Sharing,XRONEG_music_sharing.txt,"And so with that, I really do think that I do like connect with others in that way.","that, i, i, others, that way",Positive,0.8759
Music Sharing,XRONEG_music_sharing.txt,"Even if like it is not my music taste, like I want to try because that's again, like very vulnerable to be like, oh, I want you to like listen to the song or like I really like the song.","it, my music taste, i, that, i, you, the song, i, the song",Positive,0.596
Music Sharing,IAFS52_music_sharing.txt,"Sometimes, rarely, but it's just with people that I'm close to.","it, people, i",Neutral,0.5435
Music Sharing,IAFS52_music_sharing.txt,Because I'm scared people judge me for my music tastes.,"i, people, me, my music",Negative,0.6621
Music Sharing,IAFS52_music_sharing.txt,"I mean, sometimes, for me, it's just like, typically like car rides.","i, me, it, car rides",Neutral,0.7415
Music Sharing,IAFS52_music_sharing.txt,"Like if you like, if someone asks like, hey, put on a playlist, that's typically where they get a lot of my music taste.","you, someone, a playlist, that, they, a lot, my music taste",Neutral,0.7371
Music Sharing,IAFS52_music_sharing.txt,"Or if I'm like driving people, I just have my like car playlist and half the time I'm too lazy to like change it and stuff.","i, people, i, my like car playlist, half the time, i, it",Neutral,0.4754
Music Sharing,IAFS52_music_sharing.txt,"And then like, there are a few times, especially with like the people I'm closer to, I'm like, hey, this song kind of reminds me of you","a few times, the people, i, i, this song, me, you",Positive,0.7048
Music Sharing,IAFS52_music_sharing.txt,Yeah.,No clear aspect,Neutral,0.5491
Music Sharing,IAFS52_music_sharing.txt,"I know, I mean, especially with my partner, I share an Apple Music account with them.","i, i, my partner, i, them",Positive,0.7247
Music Sharing,IAFS52_music_sharing.txt,"So effectively, it's just like I can see my music tastes slowly like merging into those playlists.","it, i, my music, those playlists",Neutral,0.5077
Music Sharing,IAFS52_music_sharing.txt,It's kind of great.,it,Positive,0.9749
Music Sharing,V6UZPS_music_sharing.txt,"I like that it felt really real, because I also had a song that basically gave the same kind of vibes and was saying the same thing as their song.","i, that, it, i, a song, that, the same kind, vibes, the same thing, their song",Positive,0.917
Music Sharing,V6UZPS_music_sharing.txt,"So I was wondering if they heard my song, and if they resonated with that one as well.","i, they, my song, they",Neutral,0.7945
Music Sharing,V6UZPS_music_sharing.txt,Definitely.,No clear aspect,Positive,0.5482
Music Sharing,V6UZPS_music_sharing.txt,"If they chose it because they liked the tune, then I can't really resonate, but if they actually listened to the lyrics and felt emotion when listening to that song, like I've been through similar situations","they, it, they, the tune, i, they, the lyrics, emotion, that song, i, similar situations",Neutral,0.6575
Music Sharing,V6UZPS_music_sharing.txt,and I totally know how it feels.,"i, it",Neutral,0.5509
Music Sharing,V6UZPS_music_sharing.txt,And I think if we were classmates or something we’d probably bond over that.,"i, we, classmates, something, we, that",Neutral,0.5203
Music Sharing,V6UZPS_music_sharing.txt,I just play my “liked” playlist in the car.,"i, my “liked” playlist, the car",Neutral,0.5412
Music Sharing,V6UZPS_music_sharing.txt,Once I created a Spotify group playlist and I added it to my Snapchat story,"i, a spotify group playlist, i, it, my snapchat story",Neutral,0.7384
Music Sharing,V6UZPS_music_sharing.txt,and I told everyone to add their favorite songs so I could listen to them.,"i, everyone, their favorite songs, i, them",Positive,0.7039
Music Sharing,V6UZPS_music_sharing.txt,I like doing a lot of group playlists on Spotify.,"i, a lot, group playlists, spotify",Positive,0.9589
Music Sharing,V6UZPS_music_sharing.txt,I've also connected a lot with other people that listen to the same type of music I do.,"i, a lot, other people, that, the same type, music, i",Positive,0.8246
Music Sharing,V6UZPS_music_sharing.txt,"I was a huge fan of One Direction, as I mentioned before.","i, a huge fan, one direction, i",Positive,0.9295
Music Sharing,V6UZPS_music_sharing.txt,I still am.,i,Neutral,0.636
Music Sharing,V6UZPS_music_sharing.txt,"Like when Liam died, I went to a memorial in Denver and I met a lot of new people, and now one of the girls that I met, we’re going to Colorado Springs this weekend to go to like two “One Direction nights,” where they’re just going to play One Direction nonstop.","liam, i, a memorial, denver, i, a lot, new people, the girls, that, i, we, colorado springs, two “one direction nights, they",Neutral,0.6251
Music Sharing,V6UZPS_music_sharing.txt,And we really bonded over that.,"we, that",Positive,0.8831
Music Sharing,V6UZPS_music_sharing.txt,I'm in like five different group chants and we're all just sharing music and laughs.,"i, five different group chants, we, music, laughs",Positive,0.7381
Music Sharing,7D8BPD_music_sharing.txt,"Not really, because I've been told my taste in music is not good.","i, my taste, music",Negative,0.8845
Music Sharing,7D8BPD_music_sharing.txt,"So I also know it's like out there from what a lot of people like, especially like from what's popular right now.","i, it, what, a lot, people, what",Neutral,0.7408
Music Sharing,7D8BPD_music_sharing.txt,"It's a lot of like friends, family, because since I'm so involved in musical stuff, like, I'm a music major.","it, a lot, friends, family, i, musical stuff, i",Positive,0.6508
Music Sharing,7D8BPD_music_sharing.txt,I think that what I'm those two is very different from what they are.,"i, what, i, what, they",Neutral,0.6081
Music Sharing,7D8BPD_music_sharing.txt,"And since I do so much of that, for my career or for school, it's like, I don't listen to music a ton, like outside of that aspect.","i, that, my career, school, it, i, music, that aspect",Negative,0.5618
Music Sharing,7D8BPD_music_sharing.txt,So really my exposure is that.,"my exposure, that",Neutral,0.7667
Music Sharing,7D8BPD_music_sharing.txt,"Or like if things that I hear from my classmates or, you know, stuff like that.","if things, that, i, my classmates, you, stuff, that",Neutral,0.8375
Music Sharing,P7TX2P_music_sharing.txt,Like a disgusting amount.,a disgusting amount,Negative,0.8935
Music Sharing,P7TX2P_music_sharing.txt,"Like I will just be talking to someone, “can I play a song?","i, someone, i, a song",Neutral,0.8252
Music Sharing,P7TX2P_music_sharing.txt,Can I show you a song right now?”,"i, you, a song",Neutral,0.8542
Music Sharing,P7TX2P_music_sharing.txt,Like I filled out the form and it was like “how often do you listen to music weekly?”,"i, the form, it, you, music",Neutral,0.907
Music Sharing,P7TX2P_music_sharing.txt,And I just used my like phone usage thing.,"i, my like phone usage thing",Neutral,0.7765
Music Sharing,P7TX2P_music_sharing.txt,"But I've been listening to music a lot more, it doesn't count other people's phones, and me being like, “can I queue a song?","i, music, it, other people's phones, me, i, a song",Positive,0.7226
Music Sharing,P7TX2P_music_sharing.txt,So I kind of rounded up.,i,Neutral,0.847
Music Sharing,P7TX2P_music_sharing.txt,And it's been going up.,it,Neutral,0.6292
Music Sharing,P7TX2P_music_sharing.txt,I work in the BTU and I like that there's noise.,"i, the btu, i, noise",Positive,0.6529
Music Sharing,P7TX2P_music_sharing.txt,So I'm trying to have more people play music because otherwise it's me playing my music.,"i, more people, music, it, me, my music",Neutral,0.59
Music Sharing,P7TX2P_music_sharing.txt,"I like my music, but I only listen to so many songs.","i, my music, i, so many songs",Positive,0.5302
Music Sharing,P7TX2P_music_sharing.txt,"Sometimes it's a song that I want to listen to, or sometimes it's something related to it.","it, a song, that, i, it, something, it",Positive,0.6399
Music Sharing,P7TX2P_music_sharing.txt,"My roommate studied music and now he teaches music, and we'll do a little back and forth.","my roommate, music, he, music, we",Neutral,0.7254
Music Sharing,P7TX2P_music_sharing.txt,"The other day we were like, “here's songs that daydream to,” type thing.","we, songs, that, type thing",Neutral,0.7677
Music Sharing,P7TX2P_music_sharing.txt,"And then we walk each other through like, “then in this part this would happen,” and it's kind of like how we imagined the soundtrack to it.","we, this part, this, it, we, the soundtrack, it",Neutral,0.802
Music Sharing,P7TX2P_music_sharing.txt,"But other times, sometimes I just wanna look cool in front of someone.","i, front, someone",Positive,0.6412
Music Sharing,Y9N2G1_music_sharing.txt,"And yeah, friends do send a few suggestions.","friends, a few suggestions",Neutral,0.7163
Music Sharing,Y9N2G1_music_sharing.txt,So that does expose me to new songs.,"that, me, new songs",Neutral,0.5297
Music Sharing,Y9N2G1_music_sharing.txt,we do a lot.,"we, a lot",Neutral,0.7735
Music Sharing,Y9N2G1_music_sharing.txt,"So me and my roommates share a lot of songs and there are days where we, all of us listen together.","me, my roommates, a lot, songs, days, we, all, us",Positive,0.6577
Music Sharing,Y9N2G1_music_sharing.txt,"And again, I feel that at least like we are four people and three of our taste in music is kind of same.","i, we, four people, our taste, music",Positive,0.5424
Music Sharing,Y9N2G1_music_sharing.txt,So,No clear aspect,Neutral,0.5788
Music Sharing,Y9N2G1_music_sharing.txt,"yeah,",No clear aspect,Neutral,0.5388
Music Sharing,Y9N2G1_music_sharing.txt,it's We do share a lot of music together.,"it, we, a lot, music",Positive,0.8298
Music Sharing,Y9N2G1_music_sharing.txt,It does make that bond strong.,"it, that bond",Positive,0.7039
Music Sharing,Y9N2G1_music_sharing.txt,"It's like that, it brings in that feeling of, you know, connectedness.","it, that, it, that feeling, you",Positive,0.6358
Music Sharing,Y9N2G1_music_sharing.txt,"Like I said earlier, if someone else also likes the same song as you do, then you tend to gel together.","i, someone, the same song, you, you",Positive,0.7483
Music Sharing,Y9N2G1_music_sharing.txt,"You tend to, know their interests more.","you, their interests",Neutral,0.7875
Music Sharing,Y9N2G1_music_sharing.txt,"So yeah, you feel connected.",you,Positive,0.6847
Music Sharing,1JVZTM_music_sharing.txt,"But most of the music I get, like that isn't some stuff I already listened to, is like suggestions from like friends and stuff.","the music, i, that, some stuff, i, suggestions, friends, stuff",Neutral,0.7081
Music Sharing,1JVZTM_music_sharing.txt,Totally.,No clear aspect,Neutral,0.6382
Music Sharing,1JVZTM_music_sharing.txt,sometimes I'll just like listen to music with my friends and then they'll put on stuff,"i, music, my friends, they, stuff",Positive,0.5957
Music Sharing,1JVZTM_music_sharing.txt,or I'll put on stuff.,"i, stuff",Neutral,0.7902
Music Sharing,1JVZTM_music_sharing.txt,Or if it's like on the radio or kind of like any situation really.,"it, the radio, any situation",Neutral,0.8557
Music Sharing,IOEYMP_music_sharing.txt,I think like every day.,"i, every day",Neutral,0.7487
Music Sharing,IOEYMP_music_sharing.txt,"If it were just like any random like person, I would avoid it.","it, person, i, it",Negative,0.7546
Music Sharing,IOEYMP_music_sharing.txt,"Like I only usually share music with people that I'm like, that like mean a lot to me, I guess, or that I already know I have the same music taste as.","i, music, people, that, i, a lot, me, i, i, i, the same music taste",Positive,0.6927
Music Sharing,IOEYMP_music_sharing.txt,"I guess music, like everybody has their own perception of what a good music taste is.","i, music, everybody, their own perception, what, a good music taste",Neutral,0.7733
Music Sharing,IOEYMP_music_sharing.txt,"So Like there's that bit on top of like, I guess, my own concerns of how other people see me.","top, i, my own concerns, how other people, me",Neutral,0.7192
Music Sharing,IOEYMP_music_sharing.txt,"So it's like, oh, if like people think I have bad music taste, then I'm like not someone that they'd want to be around or something.","it, people, i, bad music taste, i, someone, that, they",Negative,0.8949
Music Sharing,IOEYMP_music_sharing.txt,"But like, Yeah.",No clear aspect,Neutral,0.7265
Music Sharing,IOEYMP_music_sharing.txt,"So it's also just like a very, like some sorts of music can be very intimate to some people.","it, some sorts, music, some people",Neutral,0.6167
Music Sharing,IOEYMP_music_sharing.txt,"So it's just like showing people those parts of me, I guess.","it, people, those parts, me, i",Neutral,0.7425
Music Sharing,X6YZK0_music_sharing.txt,I don't know.,i,Neutral,0.5667
Music Sharing,X6YZK0_music_sharing.txt,"I guess because like, I enjoy it.","i, i, it",Positive,0.8379
Music Sharing,X6YZK0_music_sharing.txt,"And like, I hope that they have like the same experience.","i, they, the same experience",Neutral,0.5252
Music Sharing,X6YZK0_music_sharing.txt,"Especially with like the songs, whatever it's like, that I choose like to dance to, like they're not the most popular songs.","the songs, whatever, it, i, they, the most popular songs",Neutral,0.6036
Music Sharing,X6YZK0_music_sharing.txt,"So like, I'm like, oh, I hope they like it in the same capacity.","i, i, they, it, the same capacity",Positive,0.6253
Music Sharing,X6YZK0_music_sharing.txt,"But yeah, usually only people that I'm really close friends to, I'll like share my music with.","i, close friends, i, my music",Positive,0.824
Music Sharing,X6YZK0_music_sharing.txt,"if anyone offers me like, the aux cable in the car, I'm like, don't give it to me.","anyone, me, the car, i, it, me",Negative,0.6977
Music Sharing,X6YZK0_music_sharing.txt,I don't want it.,"i, it",Negative,0.8988
Music Sharing,X6YZK0_music_sharing.txt,"To be honest, for the most part, pretty good.",the most part,Positive,0.9499
Music Sharing,X6YZK0_music_sharing.txt,"I mean, I feel like just with different groups sometimes, with different people, sometimes not so positive, but it's also not necessarily negative.","i, i, different groups, different people, it",Neutral,0.6065
Music Sharing,X6YZK0_music_sharing.txt,"It's just like a general like,",it,Neutral,0.7242
Music Sharing,X6YZK0_music_sharing.txt,"oh yeah, that one's good.",that one,Positive,0.9589
Music Sharing,X6YZK0_music_sharing.txt,And then that's it.,"that, it",Neutral,0.5649
Music Sharing,X6YZK0_music_sharing.txt,"But even like just a simple like, oh yeah, I liked it.","i, it",Positive,0.9391
Music Sharing,X6YZK0_music_sharing.txt,"But like saying it like that sometimes as well can make me be like, did you really like it?","it, that, me, you, it",Neutral,0.8383
Music Sharing,X6YZK0_music_sharing.txt,Or are you just saying that because you're my friend?,"you, you, my friend",Neutral,0.7435
Music Sharing,X6YZK0_music_sharing.txt,"So really like I only trust them when like they start listening to it themselves, which is kind of crazy.","i, them, they, it, themselves, which",Neutral,0.4815
Music Sharing,X6YZK0_music_sharing.txt,"But that's when I'm like, yes, you did actually really like it.","that, i, you, it",Positive,0.8576
Music Sharing,X6YZK0_music_sharing.txt,Because you're listening to it now.,"you, it",Neutral,0.7977
Music Sharing,X6YZK0_music_sharing.txt,"It makes me feel good, but also just like, yes.","it, me",Positive,0.9581
Music Sharing,X6YZK0_music_sharing.txt,Like that.,that,Neutral,0.6071
Music Sharing,X6YZK0_music_sharing.txt,"If there's any other way to describe it, just like, yes.","any other way, it",Neutral,0.4986
Music Sharing,X6YZK0_music_sharing.txt,Yeah.,No clear aspect,Neutral,0.5491
Music Sharing,X6YZK0_music_sharing.txt,"But I just like it when, you know, other people enjoy like the stuff that I share with them, because it is just very much like you're sharing it with them.","i, it, you, other people, the stuff, that, i, them, it, you, it, them",Positive,0.9192
Music Sharing,X6YZK0_music_sharing.txt,"And even though it's like not something that I like made or anything like that, means something to me, I guess.","it, something, that, i, anything, that, something, me, i",Positive,0.5084
Music Sharing,X6YZK0_music_sharing.txt,So.,No clear aspect,Neutral,0.617
Music Sharing,X6YZK0_music_sharing.txt,"I would say so, especially with the other people's music.","i, the other people's music",Neutral,0.7239
Music Sharing,X6YZK0_music_sharing.txt,"Like think in one of the rooms, I was with other people, I was trying to figure out who was.","the rooms, i, other people, i, who",Neutral,0.8557
Music Sharing,X6YZK0_music_sharing.txt,"And then with the other one, the other person wasn't in there, I don't think.","the other person, i",Neutral,0.7747
Music Sharing,X6YZK0_music_sharing.txt,"I don't quite remember, but Either way, I definitely, I don't know if like this makes sense, but I almost like gave it more attention because I felt like, it's like respectful to actually like listen to it before I pass judgment to it.","i, i, i, this, sense, i, it, more attention, i, it, it, i, judgment, it",Neutral,0.6098
Music Sharing,X6YZK0_music_sharing.txt,"But with they, I was like, I was like, who cares?","they, i, i, who",Neutral,0.552
Music Sharing,X6YZK0_music_sharing.txt,"I definitely still try to listen to it, but definitely not as hard.","i, it",Positive,0.6851
Music Sharing,X6YZK0_music_sharing.txt,"Usually I listen to the same thing over and over again until like one of my music platforms is like, hey, do you want to listen to something else?","i, the same thing, my music platforms, you, something",Neutral,0.7382
Music Sharing,X6YZK0_music_sharing.txt,And then I'll try it,"i, it",Neutral,0.756
Music Sharing,X6YZK0_music_sharing.txt,"and sometimes I love it, sometimes I hate it.","i, it, i, it",Neutral,0.3819
Music Sharing,X6YZK0_music_sharing.txt,And then usually I'll have artists that I continually go back to.,"i, artists, that, i",Neutral,0.5888
Music Sharing,X6YZK0_music_sharing.txt,"So if they release something new, I'll go back to that and see what new stuff they have and if I like it, that kind of thing.","they, something, i, that, what new stuff, they, i, it, that kind, thing",Neutral,0.5061
Music Sharing,X6YZK0_music_sharing.txt,"And then occasionally I'll listen to something else that somebody has and then like I'll take that, but that's honestly pretty rare unless it's like my sister.","i, something, that, somebody, i, that, that, it, my sister",Neutral,0.7102
Music Sharing,X6YZK0_music_sharing.txt,"Like if she suggests a song, like she's the most likely person that I'll be like, oh, I like that song too.","she, a song, she, the most likely person, that, i, i, that song",Positive,0.8755
Music Sharing,X6YZK0_music_sharing.txt,And then I'll add that to my list of songs that I listen to over and over.,"i, that, my list, songs, that, i",Positive,0.5726
Music Sharing,JAC6MU_music_sharing.txt,"Yeah, often.",No clear aspect,Neutral,0.7149
Music Sharing,JAC6MU_music_sharing.txt,It depends.,it,Neutral,0.7105
Music Sharing,JAC6MU_music_sharing.txt,I don't know.,i,Neutral,0.5667
Music Sharing,JAC6MU_music_sharing.txt,"Like with some people, like my girlfriend, for example, I've like tried showing her some stuff","some people, my girlfriend, example, i, her",Neutral,0.8664
Music Sharing,JAC6MU_music_sharing.txt,"and she's like, what the hell?",she,Negative,0.8051
Music Sharing,JAC6MU_music_sharing.txt,"Like, what is this?","what, this",Neutral,0.5259
Music Sharing,JAC6MU_music_sharing.txt,"But for like, I don't know, I have a few friends who are like into like a lot of the similar music I am and like really dissonant, harsher stuff.","i, i, a few friends, who, a lot, the similar music, i, really dissonant, harsher stuff",Neutral,0.7275
Music Sharing,JAC6MU_music_sharing.txt,"So for that, it's never that reaction.","that, it, that reaction",Neutral,0.6349
Music Sharing,JAC6MU_music_sharing.txt,"It's usually pretty, I don't know, a lot more positive of a reaction.","it, i, a reaction",Positive,0.7787
Music Sharing,JAC6MU_music_sharing.txt,Less harsh.,No clear aspect,Neutral,0.6703
Music Sharing,JAC6MU_music_sharing.txt,"We send a lot of stuff back and forth to each other, but also like when we hang out, like in the car, we're like showing each other stuff, or like I don't know, my friend Ahmad loves to like bring me and Alex over to his room.","we, a lot, stuff, we, the car, we, each other stuff, i, my friend, ahmad, me, alex, his room",Positive,0.6167
Music Sharing,JAC6MU_music_sharing.txt,"And he's like, I'm going to show you some stuff.","he, i, you, some stuff",Neutral,0.784
Music Sharing,JAC6MU_music_sharing.txt,"I want to like really, I don't know, get you into some good stuff.","i, i, you, some good stuff",Positive,0.8333
Music Sharing,JAC6MU_music_sharing.txt,He's like our music connoisseur.,"he, our music connoisseur",Neutral,0.6745
Music Sharing,JAC6MU_music_sharing.txt,"I think I'm just more likely to hear other people out, especially like in the past few years, especially my musical, I don't know,","i, i, other people, the past few years, i",Neutral,0.5921
Music Sharing,JAC6MU_music_sharing.txt,"taste has like really, really grown and expanded too.",taste,Positive,0.5685
Music Sharing,JAC6MU_music_sharing.txt,"Like a few years ago, I would not be listening to a lot of the stuff I listen to now.","i, a lot, the stuff, i",Negative,0.7685
Music Sharing,JAC6MU_music_sharing.txt,There's actually like a few examples of me trying out stuff,"a few examples, me, stuff",Neutral,0.7363
Music Sharing,JAC6MU_music_sharing.txt,"I listen to now and being like, And then coming back to it like now I'm being like, this is amazing.","i, it, i, this",Positive,0.9666
Music Sharing,JAC6MU_music_sharing.txt,"And I don't know, part of that is just somebody sends you something","i, part, that, somebody, you, something",Neutral,0.72
Music Sharing,JAC6MU_music_sharing.txt,"and it's like kind of harsh and dissonant, something you've never heard before.","it, you",Neutral,0.4944
Music Sharing,JAC6MU_music_sharing.txt,"I think when it's a friend, you're just more likely to be like, okay, where are you coming from with this?","i, it, a friend, you, you, this",Neutral,0.7445
Music Sharing,JAC6MU_music_sharing.txt,"And oftentimes it leads to like actually hearing them out, being like, whoa, this is great.","it, them, this",Positive,0.9399
Music Sharing,5F2WAZ_music_sharing.txt,"Yeah, for sure.",No clear aspect,Neutral,0.5615
Music Sharing,5F2WAZ_music_sharing.txt,Every day.,every day,Neutral,0.5752
Music Sharing,5F2WAZ_music_sharing.txt,"So if I'm just listening to a song that like reminds me of someone, I'll send that song to them.","i, a song, that, me, someone, i, that song, them",Positive,0.6722
Music Sharing,5F2WAZ_music_sharing.txt,Or if it's a new song and I think it's dope,"it, a new song, i, it, dope",Positive,0.7605
Music Sharing,5F2WAZ_music_sharing.txt,"and I think someone will like it, I'll send it as well.","i, someone, it, i, it",Positive,0.893
Music Sharing,5F2WAZ_music_sharing.txt,"So pretty much it's just like, it's never like a planned thing.","it, it, a planned thing",Neutral,0.573
Music Sharing,5F2WAZ_music_sharing.txt,"It's just like, oh, I need to send this song to someone.","it, i, this song, someone",Positive,0.5044
Music Sharing,5F2WAZ_music_sharing.txt,"It just comes, that comes to me.","it, that, me",Neutral,0.5421
Music Sharing,5F2WAZ_music_sharing.txt,"Yeah, they like it for sure.","they, it",Positive,0.7186
Music Sharing,5F2WAZ_music_sharing.txt,"Like, because like most of the people I talk to like music as well.","the people, i, music",Positive,0.7534
Music Sharing,5F2WAZ_music_sharing.txt,"So it's just like, a way we communicate really.","it, we",Neutral,0.8079
Music Sharing,5F2WAZ_music_sharing.txt,So usually maybe it could start with sending a song,"it, a song",Neutral,0.8436
Music Sharing,5F2WAZ_music_sharing.txt,"and then it could, segue into other things like about that genre, about that artist or even just like about the individual instruments, like, oh, I like the bass on this song or whatever.","it, other things, that genre, that artist, the individual instruments, i, the bass, this song, whatever",Positive,0.6454
Music Sharing,5F2WAZ_music_sharing.txt,Music can convey emotions for sure.,"music, emotions",Neutral,0.6565
Music Sharing,5F2WAZ_music_sharing.txt,"So that's one, you know, whether it's just be like, you know, like romantic songs and stuff you can send to people, or just like, songs, like when I'm hanging out with my friends that we kind of like to, turn out to, I guess you could say.","that, you, it, you, romantic songs, stuff, you, people, i, my friends, that, we, i, you",Neutral,0.5418
Music Sharing,5F2WAZ_music_sharing.txt,"I guess in that way, it's just kind of like, it's just like an expression, because even like if you're playing a song, it's like an expression of you, I feel.","i, that way, it, it, an expression, you, a song, it, an expression, you, i",Neutral,0.7271
Music Sharing,5F2WAZ_music_sharing.txt,Sometimes people get it.,"people, it",Negative,0.5964
